年度,地域コード,都道府県,総人口,男性総人口,女性総人口,日本人人口,日本人男性人口,日本人女性人口
2017,R01000,北海道,5320000,2506000,2814000,5292000,2494000,2797000
2016,R01000,北海道,5352000,2521000,2830000,5327000,2511000,2816000
2015,R01000,北海道,5381733,2537089,2844644,5348768,2522980,2825788
2014,R01000,北海道,5410000,2551000,2859000,5390000,2543000,2847000
2013,R01000,北海道,5438000,2565000,2873000,5419000,2558000,2861000
2012,R01000,北海道,5465000,2580000,2886000,5446000,2572000,2874000
2011,R01000,北海道,5488000,2593000,2896000,5470000,2585000,2884000
2010,R01000,北海道,5506419,2603345,2903074,5482650,2593193,2889457
2009,R01000,北海道,5524000,2612000,2911000,5506000,2605000,2901000
2008,R01000,北海道,5548000,2626000,2922000,5530000,2619000,2911000
2007,R01000,北海道,5579000,2644000,2935000,5562000,2637000,2925000
2006,R01000,北海道,5605000,2661000,2944000,5589000,2654000,2935000
2017,R02000,青森県,1278000,600000,678000,1274000,599000,675000
2016,R02000,青森県,1293000,608000,686000,1290000,606000,683000
2015,R02000,青森県,1308265,614694,693571,1302132,612113,690019
2014,R02000,青森県,1323000,622000,701000,1320000,620000,699000
2013,R02000,青森県,1337000,628000,708000,1334000,627000,706000
2012,R02000,青森県,1350000,635000,716000,1347000,634000,714000
2011,R02000,青森県,1363000,641000,722000,1360000,640000,720000
2010,R02000,青森県,1373339,646141,727198,1367057,643407,723650
2009,R02000,青森県,1383000,651000,732000,1380000,650000,730000
2008,R02000,青森県,1395000,657000,738000,1392000,656000,736000
2007,R02000,青森県,1409000,664000,745000,1405000,663000,742000
2006,R02000,青森県,1424000,672000,752000,1420000,671000,749000
2017,R03000,岩手県,1255000,604000,651000,1249000,602000,647000
2016,R03000,岩手県,1268000,610000,658000,1263000,609000,654000
2015,R03000,岩手県,1279594,615584,664010,1272745,613118,659627
2014,R03000,岩手県,1290000,620000,670000,1285000,618000,667000
2013,R03000,岩手県,1299000,623000,676000,1294000,621000,672000
2012,R03000,岩手県,1306000,625000,680000,1302000,624000,677000
