内容,資料,発表姿勢,文章の体裁,表現の推敲,合計
1,2.5,2.576923077,2.807692308,2.5,2.5,11.16666667
2,2.8,2.666666667,2.833333333,2.7,2.7,13.25806452
3,2.9,2.766666667,2.5,2.533333333,2.7,13.4
4,2.745071685,2.8,2.666666667,2.666666667,2.7,13.66666667
5,2.746639785,2.833333333,2.6,2.766666667,2.766666667,13.8
6,2.900862069,2.857142857,2.892857143,2.785714286,2.964285714,13.53333333
7,2.738310185,2.586206897,2.586206897,2.586206897,2.75862069,12.9
8,2.449074074,2.846153846,2.846153846,2.615384615,2.884615385,11.9
9,2.486949234,2.607142857,2.5,2.5,2.607142857,11.93333333
10,2.777777778,2.814814815,2.814814815,2.592592593,2.740740741,12.36666667
11,2.407407407,2.259259259,2.296296296,2.481481481,2.37037037,10.63333333
12,2.777777778,2.592592593,2.666666667,2.777777778,2.703703704,12.16666667
13,2.814814815,2.777777778,2.962962963,2.666666667,2.814814815,12.63333333
14,2.555555556,2.666666667,2.481481481,2.555555556,2.703703704,11.66666667
15,2.586206897,2.655172414,2.620689655,2.620689655,2.75862069,12.38709677
16,2.777777778,2.703703704,2.666666667,2.666666667,2.777777778,11.83333333
17,2.793103448,2.689655172,2.586206897,2.724137931,2.724137931,12.64516129
18,2.607142857,2.607142857,2.5,2.678571429,2.714285714,12.23333333
19,2.586206897,2.793103448,2.931034483,2.793103448,2.862068966,13.5
20,2.925925926,2.740740741,2.740740741,2.703703704,2.777777778,12.5
21,2.533333333,2.333333333,2.7,2.5,2.666666667,12.73333333
22,2.592592593,2.407407407,2.222222222,2.444444444,2.518518519,10.96666667
23,2.620689655,2.551724138,2.620689655,2.586206897,2.620689655,12.56666667
24,2.517241379,2.482758621,2.206896552,2.413793103,2.586206897,11.41935484
25,2.444444444,2.555555556,2.555555556,2.666666667,2.62962963,11.56666667
26,2.35483871,2.193548387,2,2.258064516,2.322580645,11.12903226
27,2.888888889,2.777777778,2.814814815,2.703703704,2.851851852,12.63333333
28,2.655172414,2.689655172,2.344827586,2.655172414,2.517241379,12.43333333
29,2.833333333,2.933333333,2.633333333,2.8,2.833333333,14.03333333
30,2.966666667,2.766666667,2.9,2.766666667,2.9,13.83870968
31,2.862068966,2.896551724,2.689655172,2.655172414,2.793103448,13
32,2.666666667,2.481481481,2.333333333,2.555555556,2.518518519,11.3
33,2.814814815,2.703703704,2.666666667,2.62962963,2.814814815,12.68965517
34,2.9,2.833333333,2.733333333,2.833333333,2.866666667,14.16666667
35,2.733333333,2.7,2.733333333,2.866666667,2.866666667,13.9
36,2.620689655,2.689655172,2.413793103,2.655172414,2.75862069,12.63333333
37,2.533333333,2.266666667,2.433333333,2.466666667,2.533333333,11.83870968
38,2.827586207,2.75862069,2.689655172,2.655172414,3.620689655,14.06666667
39,2.785714286,2.821428571,2.535714286,2.75,2.607142857,12.6
40,2.8,2.8,2.733333333,2.733333333,2.833333333,13.4516129
